strike_rate,balls_bowled,inning2_balls,umpire2,team1_winp_team2_last15,umpire1,bowler_details,Fours,by,inning1_wickets,is_bowler_keeper,batsman_details,Sixes,inning2_runs,inning2_wickets,over_faced_first,inning1_runs,toss decision,maiden,dots,noballs,team2_roster_ids,is_batsman_captain,team1_id,team_winp_last5,inning1_balls,runs,team1,match_dt,is_bowler_captain,winner_id,bowler_id,win amount,toss winner,wides,season,team_count_50runs_last15,winner,out_by_fielder,series_name,venue,bowler,team1only_avg_runs_last15,is_batsman_keeper,ground_id,team2_id,batsman_id,series_type,team1_roster_ids,match id,balls_faced,out_by_bowler,economy,team2,batsman,wicket kind,player_of_the_match_id,wicket_count,ground_avg_runs_last15,lighting,city,inning
140.0,,,,,,NZ:Left-hand bat:Right-arm medium-fast:,1.0,,,0.0,NZ:Right-hand bat:Right-arm medium-fast:,,,,1.1,,,,,,,0.0,,,,7,,2021-01-01,0.0,,2486896.0,,,,,,,TM Jn,,,,,0.0,,,7907451.0,,,8638034,5,JS Nm,,,KD Ce,caught,,,,,,1
100.0,,,,,,NZ:Left-hand bat:Slow left-arm orthodox:,4.0,,,0.0,NZ:Right-hand bat:None:,1.0,,,1.2,,,,,,,0.0,,,,46,,2021-01-01,0.0,,6718382.0,,,,,,,MG Bl,,,,,1.0,,,4381761.0,,,8638034,46,R Ra,,,TL St,caught,,,,,,1
90.0,,,,,,NZ:Right-hand bat:Legbreak googly:,,,,0.0,NZ:Right-hand bat:Right-arm offbreak:,,,,12.1,,,,,,,0.0,,,,9,,2021-01-01,0.0,,4950294.0,,,,,,,R Ra,,,,,0.0,,,4949790.0,,,8638034,10,PF Yd,,,HR Cr,caught,,,,,,1
127.27,,,,,,NZ:Left-hand bat:Right-arm medium-fast:,3.0,,,0.0,NZ:Right-hand bat:Right-arm medium-fast:,,,,13.6,,,,,,,0.0,,,,28,,2021-01-01,0.0,,1585464.0,,,,,,,FH An,,,,,0.0,,,3834305.0,,,8638034,22,HK Bt,,,BR Hn,caught,,,,,,1
138.46,,,,,,,,,,,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,17.2,,,,,,,0.0,,,,18,,2021-01-01,,,,,,,,,,,,,,,0.0,,,3776849.0,,,8638034,13,,,,SC Kn,,,,,,,1
50.0,,,,,,,,,,,NZ:Right-hand bat:Right-arm medium:,,,,20.3,,,,,,,0.0,,,,1,,2021-01-01,,,,,,,,,,,,,,,0.0,,,6718340.0,,,8638034,2,,,,ZN Gn,,,,,,,1
72.73,,,,,,NZ:Left-hand bat:Right-arm medium-fast:,1.0,,,0.0,NZ:Right-hand bat:Right-arm medium:,,,,5.1,,,,,,,0.0,,,,8,,2021-01-01,0.0,,2486896.0,,,,,,,HK Bt,,,,,0.0,,,31464.0,,,8638034,11,JS Nm,,,DG Be,caught,,,,,,1
158.33,,,,,,NED:Right-hand bat:Right-arm medium-fast:,2.0,,,0.0,NZ:Left-hand bat:Slow left-arm orthodox:,1.0,,,8.1,,,,,,,1.0,,,,19,,2021-01-01,0.0,,3083667.0,,,,,,,MG Bl,,,,,0.0,,,258649.0,,,8638034,12,LV vn Bk,,,AP Dh,caught,,,,,,1
86.67,,,,,,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,0.0,NZ:Left-hand bat:Right-arm medium:,,,,1.1,,,,,,,0.0,,,,13,,2021-01-01,0.0,,3776849.0,,,,,,,ZN Gn,,,,,1.0,,,2653993.0,,,8638034,15,SC Kn,,,DP Cy,caught,,,,,,2
182.0,,,,,,,7.0,,,,NZ:Right-hand bat:None:,5.0,,,1.2,,,,,,,0.0,,,,91,,2021-01-01,,,,,,,,,,,,,,,0.0,,,6718326.0,,,8638034,50,,,,FH An,,,,,,,2
129.03,,,,,,,3.0,,,,NZ:Left-hand bat:Slow left-arm orthodox:,2.0,,,6.1,,,,,,,0.0,,,,40,,2021-01-01,,,,,,,,,,,,,,,0.0,,,6718382.0,,,8638034,31,,,,R Ra,,,,,,,2
138.46,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,AUS:Right-hand bat:Slow left-arm orthodox:,1.0,,,1.1,,,,,,,1.0,,,,18,,2021-01-01,0.0,,5497274.0,,,,,,,SW Bs,,,,,0.0,,,37351.0,,,8588005,13,N Mw,,,AJ Fh,caught,,,,,,1
181.25,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,5.0,,,0.0,AUS:Left-hand bat:Slow left-arm orthodox:,5.0,,,1.5,,,,,,,0.0,,,,87,,2021-01-01,0.0,,5497274.0,,,,,,,CJ Gn,,,,,0.0,,,46794.0,,,8588005,48,N Mw,,,SE Mh,caught,,,,,,1
200.0,,,,,,,1.0,,,,PAK:Left-hand bat:Slow left-arm orthodox:,,,,16.6,,,,,,,0.0,,,,8,,2021-01-01,,,,,,,,,,,,,,,0.0,,,1594319.0,,,8588005,4,,,,Id Wm,,,,,,,1
50.0,,,,,,AUS:Right-hand bat:Left-arm fast-medium:,,,,0.0,AUS:Left-hand bat:Right-arm medium-fast:,,,,16.7,,,,,,,0.0,,,,1,,2021-01-01,0.0,,5788320.0,,,,,,,,,,,,0.0,,,7534687.0,,,8588005,2,DR Ss,,,MW Hy,bowled,,,,,,1
50.0,,,,,,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,,,,17.2,,,,,,,0.0,,,,1,,2021-01-01,,,,,,,,,,,,,,,0.0,,,7537067.0,,,8588005,2,,,,W Sd,,,,,,,1
116.67,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,AUS:Right-hand bat:None:,,,,4.1,,,,,,,0.0,,,,7,,2021-01-01,0.0,,3876613.0,,,,,,,O Ds,,,,,1.0,,,5406540.0,,,8588005,6,CP Tn,,,SB Hr,caught,,,,,,1
75.0,,,,,,AUS:Right-hand bat:Legbreak:,,,,0.0,SA:Left-hand bat:Right-arm offbreak:,,,,5.5,,,,,,,0.0,,,,3,,2021-01-01,0.0,,8193310.0,,,,,,,CJ Gn,,,,,0.0,,,2231928.0,,,8588005,4,T Sa,,,RR Rw,caught,,,,,,1
137.5,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,AFG:Right-hand bat:Right-arm offbreak:,3.0,,,7.5,,,,,,,0.0,,,,33,,2021-01-01,0.0,,5497274.0,,,,,,,CJ Gn,,,,,0.0,,,181404.0,,,8588005,24,N Mw,,,Md Ni,caught,,,,,,1
141.18,,,,,,,6.0,,,,AUS:Left-hand bat:Right-arm medium:,,,,1.1,,,,,,,0.0,,,,48,,2021-01-01,,,,,,,,,,,,,,,0.0,,,1506098.0,,,8588005,34,,,,UT Ka,,,,,,,2
236.84,,,,,,AUS:Left-hand bat:Right-arm fast-medium:,7.0,,,0.0,ENG:Right-hand bat:Right-arm medium:,2.0,,,1.2,,,,,,,0.0,,,,45,,2021-01-01,0.0,,7620346.0,,,,,,,MW Hy,,,,,0.0,,,1749075.0,,,8588005,19,M Py,,,AD Hs,caught,,,,,,2
122.22,,,,,,PAK:Left-hand bat:Slow left-arm orthodox:,1.0,,,0.0,AUS:Right-hand bat:Right-arm medium:,,,,5.4,,,,,,,1.0,,,,11,,2021-01-01,0.0,,1594319.0,,,,,,,,,,,,0.0,,,36665.0,,,8588005,9,Id Wm,,,CJ Fn,lbw,,,,,,2
100.0,,,,,,,1.0,,,,ENG:Right-hand bat:None:,,,,9.2,,,,,,,0.0,,,,10,,2021-01-01,,,,,,,,,,,,,,,1.0,,,2083409.0,,,8588005,10,,,,SW Bs,,,,,,,2
133.33,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,2.0,,,0.0,AUS:Right-hand bat:None:,2.0,,,1.1,,,,,,,0.0,,,,48,,2021-01-02,0.0,,7353828.0,,,,,,,,,,,,1.0,,,7869987.0,,,8587837,36,XC Bt,,,JR Pe,lbw,,,,,,1
100.0,,,,,,AFG:Right-hand bat:Right-arm offbreak:,1.0,,,0.0,AUS:Right-hand bat:Right-arm medium:,,,,1.3,,,,,,,0.0,,,,10,,2021-01-02,0.0,,6818776.0,,,,,,,JA Bs,,,,,0.0,,,7620283.0,,,8587837,10,Mb Ur Rn,,,J Es,caught,,,,,,1
159.26,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,5.0,,,0.0,AUS:Right-hand bat:None:,,,,10.6,,,,,,,0.0,,,,43,,2021-01-02,0.0,,3890984.0,,,,,,,,,,,,0.0,,,3063696.0,,,8587837,27,MT Se,,,JC Sk,bowled,,,,,,1
120.0,,,,,,AFG:Right-hand bat:Right-arm offbreak:,1.0,,,0.0,AUS:Right-hand bat:Right-arm fast-medium:,,,,13.2,,,,,,,0.0,,,,6,,2021-01-02,0.0,,6818776.0,,,,,,,,,,,,0.0,,,34061.0,,,8587837,5,Mb Ur Rn,,,DT Cn,lbw,,,,,,1
0.0,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,,,,0.0,WI:Right-hand bat:Right-arm fast-medium:,,,,14.5,,,,,,,0.0,,,,0,,2021-01-02,0.0,,3890984.0,,,,,,,SD Ht (sub),,,,,0.0,,,3200756.0,,,8587837,3,MT Se,,,CR Be,caught,,,,,,1
150.0,,,,,,,1.0,,,,AUS:Left-hand bat:Left-arm fast-medium:,1.0,,,15.5,,,,,,,0.0,,,,24,,2021-01-02,,,,,,,,,,,,,,,0.0,,,4756982.0,,,8587837,16,,,,BJ Ds,,,,,,,1
0.0,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,,,,0.0,ITA:Right-hand bat:Right-arm offbreak:,,,,19.3,,,,,,,0.0,,,,0,,2021-01-02,0.0,,3890984.0,,,,,,,JA Bs,,,,,0.0,,,7455818.0,,,8587837,1,MT Se,,,BD Mi,caught,,,,,,1
66.67,,,,,,,,,,,AUS:Right-hand bat:Slow left-arm orthodox:,,,,19.4,,,,,,,0.0,,,,2,,2021-01-02,,,,,,,,,,,,,,,0.0,,,49496.0,,,8587837,3,,,,SJ Oe,,,,,,,1
125.0,,,,,,ENG:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,ENG:Right-hand bat:Right-arm medium:,1.0,,,5.2,,,,,,,0.0,,,,20,,2021-01-02,0.0,,2535420.0,,,,,,,JJ Pn,,,,,0.0,,,2076192.0,,,8587837,16,L Gy,,,JM Ve,caught,,,,,,1
50.0,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,,,,0.0,AUS:Left-hand bat:Right-arm medium:,,,,9.6,,,,,,,1.0,,,,2,,2021-01-02,0.0,,3890984.0,,,,,,,JJ Pn,,,,,0.0,,,4002340.0,,,8587837,4,MT Se,,,DP Hs,caught,,,,,,1
173.91,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,6.0,,,0.0,AUS:Right-hand bat:Right-arm medium:,1.0,,,1.1,,,,,,,0.0,,,,40,,2021-01-02,0.0,,34061.0,,,,,,,JR Pe,,,,,0.0,,,7620269.0,,,8587837,23,DT Cn,,,M Bt,caught,,,,,,2
193.75,,,,,,,2.0,,,,ENG:Right-hand bat:Right-arm medium-fast:,2.0,,,13.6,,,,,,,0.0,,,,31,,2021-01-02,,,,,,,,,,,,,,,0.0,,,2535420.0,,,8587837,16,,,,L Gy,,,,,,,2
125.0,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,,,,0.0,AUS:Right-hand bat:Right-arm fast-medium:,,,,15.4,,,,,,,0.0,,,,5,,2021-01-02,0.0,,34061.0,,,,,,,JC Sk,,,,,0.0,,,4967738.0,,,8587837,4,DT Cn,,,JJ By,caught,,,,,,2
220.0,,,,,,,1.0,,,,AUS:Right-hand bat:Right-arm medium-fast:,1.0,,,16.6,,,,,,,0.0,,,,22,,2021-01-02,,,,,,,,,,,,,,,0.0,,,3995991.0,,,8587837,10,,,,JD Wh,,,,,,,2
14.29,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,,,,0.0,AUS:Right-hand bat:Right-arm medium:,,,,2.1,,,,,,,0.0,,,,1,,2021-01-02,0.0,,1506077.0,,,,,,,BD Mi,,,,,0.0,,,2286437.0,,,8587837,7,JM Bd,,,JA Bs,caught,,,,,,2
111.76,,,,,,AUS:Left-hand bat:Left-arm fast-medium:,2.0,,,0.0,ENG:Right-hand bat:Legbreak:,,,,3.5,,,,,,,0.0,,,,19,,2021-01-02,0.0,,4756982.0,,,,,,,DT Cn,,,,,0.0,,,87191.0,,,8587837,17,BJ Ds,,,JL Dy,caught,,,,,,2
100.0,,,,,,WI:Right-hand bat:Right-arm fast-medium:,,,,0.0,AUS:Left-hand bat:Slow left-arm orthodox:,1.0,,,8.1,,,,,,,0.0,,,,17,,2021-01-02,0.0,,3200756.0,,,,,,,DT Cn,,,,,0.0,,,5786766.0,,,8587837,17,CR Be,,,SD Ht,caught,,,,,,2
105.26,,,,,,AUS:Left-hand bat:Left-arm fast-medium:,,,,0.0,AUS:Right-hand bat:None:,1.0,,,9.5,,,,,,,1.0,,,,20,,2021-01-02,0.0,,4756982.0,,,,,,,,,,,,1.0,,,3114803.0,,,8587837,19,BJ Ds,,,JJ Pn,bowled,,,,,,2
123.81,,,,,,NZ:Right-hand bat:Left-arm wrist-spin:,4.0,,,0.0,NZ:Right-hand bat:Right-arm medium-fast:,,,,1.1,,,,,,,0.0,,,,26,,2021-01-02,0.0,,2666705.0,,,,,,,M Rk,,,,,0.0,,,7907451.0,,,8638041,21,MG Rn,,,KD Ce,stumped,,,,,,1
127.59,,,,,,NZ:Right-hand bat:Right-arm medium:,5.0,,,0.0,NZ:Right-hand bat:None:,3.0,,,1.4,,,,,,,0.0,,,,74,,2021-01-02,0.0,,4195827.0,,,,,,,MJ Mn,,,,,1.0,,,4381761.0,,,8638041,58,MB Bn,,,TL St,caught,,,,,,1
60.0,,,,,,NZ:Left-hand bat:Left-arm fast-medium:,,,,0.0,NZ:Right-hand bat:Right-arm offbreak:,,,,10.6,,,,,,,0.0,,,,3,,2021-01-02,0.0,,2236086.0,,,,,,,MB Bn,,,,,0.0,,,4949790.0,,,8638041,5,MJ Mn,,,HR Cr,caught,,,,,,1
57.14,,,,,,NZ:Right-hand bat:Slow left-arm orthodox:,,,,0.0,NZ:Left-hand bat:Slow left-arm orthodox:,,,,12.6,,,,,,,1.0,,,,4,,2021-01-02,0.0,,2690498.0,,,,,,,,,,,,0.0,,,258649.0,,,8638041,7,AK Kn,,,AP Dh,bowled,,,,,,1
114.29,,,,,,NZ:Right-hand bat:Left-arm wrist-spin:,1.0,,,0.0,NZ:Right-hand bat:Right-arm medium-fast:,,,,14.5,,,,,,,0.0,,,,8,,2021-01-02,0.0,,2666705.0,,,,,,,M Rk,,,,,0.0,,,3834305.0,,,8638041,7,MG Rn,,,BR Hn,caught,,,,,,1
140.0,,,,,,NZ:Right-hand bat:Right-arm medium:,,,,0.0,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,16.2,,,,,,,0.0,,,,14,,2021-01-02,0.0,,4195827.0,,,,,,,NF Ky,,,,,0.0,,,3776849.0,,,8638041,10,MB Bn,,,SC Kn,caught,,,,,,1
75.0,,,,,,,,,,,NZ:Left-hand bat:Slow left-arm orthodox:,,,,19.5,,,,,,,0.0,,,,3,,2021-01-02,,,,,,,,,,,,,,,0.0,,,7543647.0,,,8638041,4,,,,FL Wr,,,,,,,1
75.0,,,,,,,,,,,NZ:Right-hand bat:Right-arm medium:,,,,19.6,,,,,,,0.0,,,,3,,2021-01-02,,,,,,,,,,,,,,,0.0,,,6718340.0,,,8638041,4,,,,ZN Gn,,,,,,,1
50.0,,,,,,NZ:Right-hand bat:Right-arm medium:,,,,0.0,NZ:Right-hand bat:Right-arm medium:,,,,9.6,,,,,,,0.0,,,,2,,2021-01-02,0.0,,4195827.0,,,,,,,MJ Mn,,,,,0.0,,,31464.0,,,8638041,4,MB Bn,,,DG Be,caught,,,,,,1
175.0,,,,,,NZ:Right-hand bat:Right-arm medium:,6.0,,,0.0,NZ:Left-hand bat:Slow left-arm orthodox:,2.0,,,1.1,,,,,,,0.0,,,,49,,2021-01-02,0.0,,6718340.0,,,,,,,,,,,,0.0,,,2319638.0,,,8638041,28,ZN Gn,,,HD Rd,run out,,,,,,2
85.71,,,,,,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,0.0,NZ:Right-hand bat:Right-arm medium:,,,,1.2,,,,,,,0.0,,,,6,,2021-01-02,0.0,,3776849.0,,,,,,,FL Wr,,,,,0.0,,,256080.0,,,8638041,7,SC Kn,,,NT Bm,caught,,,,,,2
60.0,,,,,,NZ:Right-hand bat:Right-arm medium-fast:,,,,0.0,NZ:Right-hand bat:Slow left-arm orthodox:,,,,10.2,,,,,,,0.0,,,,3,,2021-01-02,0.0,,7907458.0,,,,,,,TL St,,,,,0.0,,,2690498.0,,,8638041,5,MJ Fr,,,AK Kn,caught,,,,,,2
107.69,,,,,,,1.0,,,,NZ:Right-hand bat:Legbreak:,,,,11.4,,,,,,,0.0,,,,14,,2021-01-02,,,,,,,,,,,,,,,1.0,,,6129276.0,,,8638041,13,,,,M Rk,,,,,,,2
100.0,,,,,,NZ:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,NZ:Right-hand bat:Left-arm wrist-spin:,,,,14.6,,,,,,,0.0,,,,6,,2021-01-02,0.0,,3834305.0,,,,,,,AP Dh,,,,,0.0,,,2666705.0,,,8638041,6,BR Hn,,,MG Rn,run out,,,,,,2
90.91,,,,,,,1.0,,,,NZ:Right-hand bat:Right-arm fast-medium:,,,,16.1,,,,,,,0.0,,,,10,,2021-01-02,,,,,,,,,,,,,,,0.0,,,6317142.0,,,8638041,11,,,,DN Ps,,,,,,,2
0.0,,,,,,NZ:Right-hand bat:Right-arm medium:,,,,0.0,NZ:Right-hand bat:Right-arm fast-medium:,,,,16.3,,,,,,,1.0,,,,0,,2021-01-02,0.0,,6718340.0,,,,,,,TL St,,,,,0.0,,,3834375.0,,,8638041,3,ZN Gn,,,JA Dy,caught,,,,,,2
107.69,,,,,,,1.0,,,,NZ:Left-hand bat:Left-arm fast-medium:,,,,16.6,,,,,,,0.0,,,,14,,2021-01-02,,,,,,,,,,,,,,,0.0,,,2236086.0,,,8638041,13,,,,MJ Mn,,,,,,,2
106.25,,,,,,NZ:Right-hand bat:Right-arm medium:,3.0,,,0.0,NZ:Right-hand bat:Legbreak:,,,,4.1,,,,,,,0.0,,,,17,,2021-01-02,0.0,,6718340.0,,,,,,,TL St,,,,,0.0,,,7918280.0,,,8638041,16,ZN Gn,,,LC Jn,caught,,,,,,2
76.47,,,,,,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,0.0,NZ:Left-hand bat:Slow left-arm orthodox:,,,,8.3,,,,,,,0.0,,,,13,,2021-01-02,0.0,,3776849.0,,,,,,,FL Wr,,,,,0.0,,,3913447.0,,,8638041,17,SC Kn,,,NF Ky,caught,,,,,,2
88.57,,,,,,AUS:Left-hand bat:Right-arm fast:,1.0,,,0.0,AUS:Right-hand bat:Right-arm medium:,1.0,,,1.1,,,,,,,0.0,,,,31,,2021-01-02,0.0,,3731307.0,,,,,,,,,,,,1.0,,,4223883.0,,,8587921,35,B Se,,,BR Mt,bowled,,,,,,1
171.43,,,,,,AUS:Right-hand bat:Right-arm offbreak:,2.0,,,0.0,AUS:Left-hand bat:Left-arm wrist-spin:,,,,1.2,,,,,,,0.0,,,,12,,2021-01-02,1.0,,2275195.0,,,,,,,,,,,,0.0,,,2161599.0,,,8587921,7,GJ Ml,,,DM St,bowled,,,,,,1
0.0,,,,,,AUS:Left-hand bat:Right-arm fast:,,,,0.0,AUS:Right-hand bat:Right-arm fast-medium:,,,,14.2,,,,,,,0.0,,,,0,,2021-01-02,0.0,,3731307.0,,,,,,,GJ Ml,,,,,0.0,,,5788418.0,,,8587921,1,B Se,,,NT Es,caught,,,,,,1
216.67,,,,,,AUS:Left-hand bat:Right-arm fast:,1.0,,,0.0,SA:Left-hand bat:Legbreak:,3.0,,,14.4,,,,,,,0.0,,,,26,,2021-01-02,0.0,,3731307.0,,,,,,,HR Ct,,,,,0.0,,,319948.0,,,8587921,12,B Se,,,CA Im,caught,,,,,,1
114.29,,,,,,,,,,,AUS:Right-hand bat:Right-arm offbreak:,,,,18.7,,,,,,,0.0,,,,8,,2021-01-02,,,,,,,,,,,,,,,0.0,,,6249256.0,,,8587921,7,,,,TH Dd,,,,,,,1
100.0,,,,,,,,,,,AUS:Right-hand bat:None:,,,,19.6,,,,,,,1.0,,,,3,,2021-01-02,,,,,,,,,,,,,,,0.0,,,2340372.0,,,8587921,3,,,,PP Hb,,,,,,,1
133.93,,,,,,AUS:Right-hand bat:Left-arm medium-fast:,7.0,,,0.0,ENG:Left-hand bat:Legbreak:,3.0,,,2.5,,,,,,,0.0,,,,75,,2021-01-02,0.0,,2337117.0,,,,,,,GJ Ml,,,,,0.0,,,1655436.0,,,8587921,56,SL Rd,,,DJ Mn,caught,,,,,,1
125.0,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,2.0,,,0.0,WI:Right-hand bat:Right-arm medium-fast:,,,,1.1,,,,,,,0.0,,,,10,,2021-01-02,0.0,,3125849.0,,,,,,,,,,,,0.0,,,363047.0,,,8587921,8,SM Bd,,,AS Fr,run out,,,,,,2
33.33,,,,,,NEP:Right-hand bat:Legbreak googly:,,,,0.0,AUS:Left-hand bat:Right-arm offbreak:,,,,13.5,,,,,,,0.0,,,,2,,2021-01-02,0.0,,6722540.0,,,,,,,BR Mt,,,,,0.0,,,2720759.0,,,8587921,6,S Le,,,BR Dk,caught,,,,,,2
136.36,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,1.0,,,0.0,AUS:Right-hand bat:Left-arm medium-fast:,,,,14.3,,,,,,,0.0,,,,15,,2021-01-02,0.0,,3125849.0,,,,,,,NT Es,,,,,0.0,,,2337117.0,,,8587921,11,SM Bd,,,SL Rd,caught,,,,,,2
62.5,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,1.0,,,0.0,AUS:Right-hand bat:Right-arm fast-medium:,,,,15.6,,,,,,,0.0,,,,5,,2021-01-02,0.0,,5788418.0,,,,,,,PP Hb,,,,,0.0,,,6308098.0,,,8587921,8,NT Es,,,LC Hr,caught,,,,,,2
33.33,,,,,,AUS:Right-hand bat:Right-arm fast-medium:,,,,0.0,AUS:Right-hand bat:Right-arm fast:,,,,17.6,,,,,,,0.0,,,,2,,2021-01-02,0.0,,5788418.0,,,,,,,,,,,,0.0,,,7877232.0,,,8587921,6,NT Es,,,LR Ms,bowled,,,,,,2
